排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,产学研合作（校企合作论文·篇）,成果转化（技术转让收入·千元）,
295,蚌埠医学院,安徽省,28.3,35.1,90.04%,577,0.585,2,——,820,0,0,
297,黑龙江八一农垦大学,黑龙江省,28,35.7,84.24%,548,0.638,4,——,8082,3,0,
298,江西农业大学,江西省,27.9,31.2,86.42%,811,0.748,5,——,28076,1,0,
299,中原工学院,河南省,27.7,32.1,90.80%,549,0.6,2,——,17064,2,1350,
299,北京石油化工学院,北京市,27.7,34.2,97.90%,508,0.362,2,——,17613,20,0,
301,重庆科技学院,重庆市,27.6,33.7,92.61%,663,0.423,3,——,95213,23,1200,
301,内蒙古科技大学,内蒙古自治区,27.6,36.0,86.10%,884,0.5,4,——,13157,20,0,
303,西南林业大学,云南省,27.5,32.8,86.63%,623,0.63,4,——,26083,3,0,
303,贵州师范大学,贵州省,27.5,34.0,83.36%,650,0.648,6,——,5052,1,0,
305,四川理工学院,四川省,27.2,27.6,95.27%,640,0.623,6,——,11604,3,3250,
305,新疆医科大学,新疆自治区,27.2,35.5,87.44%,1736,0.424,2,——,1580,11,0,
307,江西中医药大学,江西省,26.4,31.5,88.12%,659,0.506,2,——,528,1,0,
308,景德镇陶瓷学院,江西省,26.1,20.5,86.27%,558,0.96,13,——,4000,7,409,
309,潍坊学院,山东省,23.6,22.3,93.00%,579,0.395,1,——,0,1,250,
310,德州学院,山东省,21.5,15.3,87.86%,614,0.502,3,——,966,2,0,
